tr_er	val_er
3.279243154451251	,	1.051170950755477
0.5552603360265493	,	0.5243505127727985
0.5140346772968769	,	0.5099389348179102
0.508107727393508	,	0.5054841246455908
0.5058752670884132	,	0.5048411469906569
0.504508139565587	,	0.5035559441894293
0.5033035520464182	,	0.5027130153030157
0.5028678644448519	,	0.5024797506630421
0.5025969836860895	,	0.5027671195566654
0.5022723414003849	,	0.5017348434776068
0.5023985970765352	,	0.5019479542970657
0.5020413864403963	,	0.5015719160437584
0.5015665870159864	,	0.5016026441007853
0.5015391428023577	,	0.5011888276785612
0.5019664205610752	,	0.5016563106328249
0.5035937279462814	,	0.5030319392681122
0.5031589586287737	,	0.5017290264368057
0.5020713526755571	,	0.5016791541129351
0.502311397343874	,	0.5018667243421078
0.5026459135115147	,	0.5019924230873585
0.50231515429914	,	0.5020821746438742
0.5017677992582321	,	0.5073354812338948
0.5060778753831983	,	0.5405937042087317
0.5136997746303678	,	0.5059939809143543
0.5050813620910048	,	0.505576204508543
0.5040677366778255	,	0.5231379643082619
0.5098714726045728	,	0.5029219388961792
0.5021595936268568	,	0.5021781083196402
0.5019769743084908	,	0.5022662691771984
0.5045535014942288	,	0.5063064154237509
0.5090344753116369	,	0.5035242103040218
0.5028056148439646	,	0.501433651894331
0.5014236588031054	,	0.5006871316581964
0.5023072874173522	,	0.5011743605136871
0.5029306057840586	,	0.5052302591502666
0.5022537410259247	,	0.5008551198989153
0.5007279235869646	,	0.5010100454092026
0.5005771890282631	,	0.5007197353988886
0.5004365537315607	,	0.5006089936941862
0.500696262344718	,	0.5006471201777458
0.5013754274696112	,	0.500843420624733
0.5008660648018122	,	0.5012402171269059
0.500609191134572	,	0.5006743036210537
0.5005101449787617	,	0.50051149725914
0.5028352374210954	,	0.5075835483148694
0.5064592007547617	,	0.5322962496429682
0.5559931397438049	,	0.5472502019256353
0.5159627478569746	,	0.5030008256435394
0.5009453520178795	,	0.5003404840826988
0.50032714381814	,	0.5002195443958044
