tr_er	val_er
1.9445198886096478	,	1.1070211715996265
0.543198318220675	,	0.5241412306204438
0.5667501278221607	,	0.5917625594884157
0.5671034958213568	,	0.8450724389404058
0.5587769588455558	,	0.6684959828853607
0.5870242016389966	,	0.7682751156389713
0.6311916615813971	,	0.7816500850021839
0.5521168354898691	,	0.8095822837203741
0.6324733775109053	,	0.8359663225710392
0.6335314884781837	,	0.744068305939436
0.6160284299403429	,	0.9326564110815525
0.6341593898832798	,	0.8526054117828608
0.6173996301367879	,	0.7761686816811562
0.579175965860486	,	0.9528622981160879
0.6541937319561839	,	0.9172769784927368
0.6213342035189271	,	0.8901605047285557
0.5846900688484311	,	0.8621142450720072
0.5956198340281844	,	1.1048472207039595
0.6360321501269937	,	0.9295470677316189
0.6631582360714674	,	1.0621179323643446
0.627382175065577	,	0.9400933366268873
0.6276473924517632	,	0.9750984162092209
0.6287692068144679	,	1.0166318025439978
0.6447667805477977	,	1.1741162035614252
0.6489809732884169	,	0.9514236859977245
0.6592229343950748	,	1.0545751098543406
0.6254997197538614	,	1.054099440574646
0.6763361357152462	,	1.0852282159030437
0.6286433963105083	,	1.0807862393558025
0.648862580768764	,	1.0869312472641468
0.6609126785770059	,	1.0525825209915638
0.6164764137938619	,	1.0152448434382677
0.6503841867670417	,	1.1608757600188255
0.7186483321711421	,	1.1108749471604824
0.6590795777738094	,	1.1531240083277225
0.6725389566272497	,	1.111191000789404
0.6927590817213058	,	1.185406569391489
0.6161827314645052	,	1.1516023389995098
0.6291131265461445	,	1.172792874276638
0.6238442929461598	,	1.1694243289530277
0.5890389205887914	,	1.1307857744395733
0.6086624683812261	,	1.1131674721837044
0.641803034581244	,	1.2466301321983337
0.6906630508601665	,	1.2646396569907665
0.7465167567133904	,	1.3202271945774555
0.65405607316643	,	1.0940563324838877
0.7020966643467546	,	1.1735962443053722
0.666036213748157	,	1.2532218284904957
0.7162296632304788	,	1.200334906578064
0.6353434873744845	,	1.1417115349322557
