tr_er	val_er
3.231387972831726	,	1.6049250047653913
0.5323201399296522	,	0.5312140919268131
0.5126233752816916	,	0.5274759344756603
0.5064596552401781	,	0.5053905881941319
0.5050519052892923	,	0.5049900747835636
0.5059708543121815	,	0.5117777623236179
0.5033012703061104	,	0.5020476896315813
0.5017875749617815	,	0.5017294101417065
0.5017122514545918	,	0.5012070350348949
0.5015334598720074	,	0.5011692885309458
0.5016531236469746	,	0.5012433286756277
0.5011104624718428	,	0.5008445084095001
0.5008076168596745	,	0.5010125394910574
0.5007954109460115	,	0.5010716672986746
0.5009421091526747	,	0.5007394030690193
0.5007795244455338	,	0.500921156257391
0.5007903948426247	,	0.5006406363099813
0.5009633377194405	,	0.5007725767791271
0.5010908264666796	,	0.5004801601171494
0.5006666630506516	,	0.5005073752254248
0.5005416553467512	,	0.5003856383264065
0.5004757549613714	,	0.5003110878169537
0.500539580360055	,	0.5004157032817602
0.5004839655011892	,	0.5006005745381117
0.5004461538046598	,	0.5003500636667013
0.5004612673074007	,	0.500322749838233
0.5003421287983656	,	0.50031828135252
0.50031403824687	,	0.5003318469971418
0.5003273487091064	,	0.5004113325849175
0.5003953389823437	,	0.5005971156060696
0.5005142111331224	,	0.5002495665103197
0.500326681882143	,	0.5004962906241417
0.5003345366567373	,	0.5001899488270283
0.5003154370933771	,	0.5002609938383102
0.5002554580569267	,	0.500398987904191
0.5003151353448629	,	0.5002666506916285
0.5002724025398493	,	0.5002846773713827
0.5002467557787895	,	0.5001782048493624
0.5003485232591629	,	0.5007121963426471
0.5005101058632135	,	0.500466600060463
0.5003183037042618	,	0.5004179012030363
0.5002382881939411	,	0.5001885313540697
0.500197870656848	,	0.5002902084961534
0.5002022981643677	,	0.5002395305782557
0.5003198552876711	,	0.500475624576211
0.5004800297319889	,	0.5002694390714169
0.5002175681293011	,	0.5001621572300792
0.5009454321116209	,	0.5045232437551022
0.500302791595459	,	0.500090466812253
0.5001571364700794	,	0.5001016184687614
