tr_er	val_er
0.24862538184970617	,	0.24926862074062228
0.2494911439716816	,	0.24940476473420858
0.2492074379697442	,	0.2495521022938192
0.24842977663502097	,	0.2492869272828102
0.2496490515768528	,	0.24923814786598086
0.2498966958373785	,	0.24929357320070267
0.24807588756084442	,	0.24874556064605713
0.24883468076586723	,	0.25001392839476466
0.24794763373211026	,	0.24996238853782415
0.24961101496592164	,	0.24930901499465108
0.2500695497728884	,	0.2500304882414639
0.24910979392006993	,	0.248143523465842
0.24820402497425675	,	0.24930959613993764
0.25188302202150226	,	0.25046868342906237
0.24635145161300898	,	0.24982168385758996
0.2490445445291698	,	0.2490869965404272
0.2478956524282694	,	0.2528697345405817
0.24664080794900656	,	0.2510177535004914
0.2499487940222025	,	0.2496610046364367
0.2496961704455316	,	0.25125193456187844
0.24877722235396504	,	0.24746740935370326
0.2486032689921558	,	0.25090952264145017
0.24954788899049163	,	0.2491720337420702
0.25067785708233714	,	0.24950782302767038
0.25072356266900897	,	0.25005463464185596
0.25474289944395423	,	0.25067217787727714
0.25015520909801126	,	0.24836142919957638
0.24789129849523306	,	0.24992891494184732
0.24576067551970482	,	0.2497113598510623
0.2538640280254185	,	0.2470650365576148
0.2517208377830684	,	0.25061236787587404
0.24966221069917083	,	0.2496862388215959
0.25106817623600364	,	0.24983120802789927
0.25051336362957954	,	0.25300528993830085
0.24902904964983463	,	0.2501057181507349
0.25008517038077116	,	0.25211875466629863
0.250177419744432	,	0.2517100474797189
0.24904752103611827	,	0.2510448689572513
0.24675644328817725	,	0.2519384417682886
0.2518422272987664	,	0.25144525337964296
0.24432987999171019	,	0.2526416853070259
0.24826898938044906	,	0.24970182729884982
0.2515753577463329	,	0.2475233729928732
0.2539552259258926	,	0.2507988545112312
0.24742858903482556	,	0.250820301938802
0.2533340249210596	,	0.2489369073882699
0.2541891895234585	,	0.249878681730479
0.25324909295886755	,	0.24795590853318572
0.24817070504650474	,	0.24813182931393385
0.24463524017482996	,	0.2555821491405368
